path	status	redirect_target
/	200	—
/about	200	—
/aku-world-immersive-environment-nft-miami	404	—
/aspire-sculptural-lighting	404	—
/bird-of-paradise-sculptural-lighting-design	404	—
/bird-song-generative-lighting-installation	404	—
/blog	404	—
/blog/blog-post-title-one-zwhfl-j3zhg	404	—
/blog/blog-post-title-two-8nnar-6aegd	404	—
/buzzfeed-newfronts-event-production	404	—
/cameo-no-3-interactive-sculptural-lighting-installation	404	—
/centrifuge-cedars-sinai-lighting-installation	404	—
/contact	200	—
/converging-influence	404	—
/create-our-future-experiential-event	404	—
/destination-experiential-event	404	—
/dj-equipment-rentals	308	https://rentals.beatrox.com/category/dj
/drone-light-shows	404	—
/flir-history-wall-interactive-media-display	404	—
/home	200	—
/infinite-playlist-tour-festival-activation-experiential-event	404	—
/interactive-architectural-model-jbg-smith-washington-dc	404	—
/laser-shows	404	—
/led-video-wall-rentals-portland	404	—
/myshelter-project-immersive-enviroment	404	—
/projekt-x-stage-design-and-fabrication	404	—
/run-for-the-oceans-interactive-media-experience	404	—
/seattle-star-an-interactive-lighting-installation	404	—
/services	200	—
/sound-equipment-rentals	404	—
/super-bowl-2020-projection-mapping-interactive-ar	404	—
/team	200	—
/wave-interactive-light-sculpture-1	404	—
/work	200	—
/faq	404	—
/shop	404	—
/rentals	308	https://rentals.beatrox.com/
/book	200	—
/portfolio	404	—
